drawNo,date,n1,n2,n3,n4,n5,n6,s1,s2
3749,2017-06-24,29,43,5,13,32,1,40,38
3751,2017-07-01,19,18,6,10,32,36,13,1
3753,2017-07-08,24,11,22,26,33,18,28,19
3755,2017-07-15,25,44,41,1,11,22,9,23
3757,2017-07-22,32,42,27,44,11,22,7,39
3759,2017-07-29,28,34,30,43,42,31,4,25
3761,2017-08-05,21,7,20,1,11,32,26,22
3763,2017-08-12,7,11,45,14,16,26,34,35
3765,2017-08-19,39,3,30,23,9,45,7,17
3767,2017-08-26,45,20,11,38,27,15,18,42
3769,2017-09-02,21,22,23,16,17,44,30,2
3771,2017-09-09,12,42,40,21,35,28,4,9
3773,2017-09-16,29,10,45,5,20,41,7,26
3775,2017-09-23,44,6,40,45,13,8,16,2
3777,2017-09-30,22,19,1,34,20,32,33,3
3779,2017-10-07,18,34,31,7,13,15,27,17
3781,2017-10-14,39,25,18,13,6,34,42,9
3783,2017-10-21,30,45,34,22,13,42,39,44
3785,2017-10-28,13,38,17,40,44,1,22,31
3787,2017-11-04,22,7,30,4,17,26,41,44
3789,2017-11-11,30,19,43,18,27,38,21,16
3791,2017-11-18,40,26,42,28,19,6,36,33
3793,2017-11-25,44,36,4,18,6,31,1,10
3795,2017-12-02,25,44,14,8,16,23,2,9
3797,2017-12-09,28,30,17,14,34,36,44,45
3799,2017-12-16,5,1,39,45,28,26,12,44
3801,2017-12-23,21,11,8,23,13,34,42,24
3803,2017-12-30,6,30,9,35,27,37,4,14
3805,2018-01-06,32,31,44,35,3,12,14,13
3807,2018-01-13,45,36,16,19,6,1,11,5
3809,2018-01-20,14,9,2,5,31,34,7,13
3811,2018-01-27,4,7,11,32,40,1,26,29
3813,2018-02-03,23,11,24,13,27,12,31,22
3815,2018-02-10,7,27,23,2,16,44,25,28
3817,2018-02-17,30,13,3,8,31,35,25,17
3819,2018-02-24,5,19,1,30,14,15,20,28
3821,2018-03-03,45,21,2,36,29,35,40,44
3823,2018-03-10,2,4,44,34,31,22,25,27
3825,2018-03-17,35,33,41,26,38,32,45,27
3827,2018-03-24,30,19,10,39,33,23,17,34
3829,2018-03-31,15,44,27,8,23,43,11,35
3831,2018-04-07,7,17,8,35,6,23,29,30
3833,2018-04-14,38,17,7,18,9,10,20,35
3835,2018-04-21,12,17,42,31,44,11,19,3
3837,2018-04-28,13,35,43,33,38,29,41,15
3839,2018-05-05,34,28,22,42,45,10,11,3
3841,2018-05-12,12,17,38,31,6,14,34,32
3843,2018-05-19,42,33,39,6,21,9,19,40
3845,2018-05-26,10,29,40,21,25,38,22,7
3847,2018-06-02,19,24,17,7,14,37,2,23
3849,2018-06-09,7,26,25,10,22,36,30,43
3851,2018-06-16,26,8,22,45,2,12,1,38
3853,2018-06-23,10,35,9,18,41,31,26,16
3855,2018-06-30,25,14,1,40,26,20,24,3
3857,2018-07-07,29,1,6,43,23,18,3,35
3859,2018-07-14,45,40,6,32,12,11,10,20
3861,2018-07-21,4,15,2,16,24,14,33,18
3863,2018-07-28,37,21,29,27,40,31,6,11
3865,2018-08-04,25,38,24,35,12,14,36,39
3867,2018-08-11,1,23,8,15,44,20,11,18
3869,2018-08-18,37,17,19,38,6,26,2,10
3871,2018-08-25,29,18,5,31,35,15,9,36
3873,2018-09-01,36,16,14,10,43,5,19,18
3875,2018-09-08,43,24,25,19,22,42,4,14
3877,2018-09-15,3,7,15,44,45,1,26,34
3879,2018-09-22,32,29,9,44,21,26,2,28
3881,2018-09-29,10,16,9,25,13,2,19,17
3883,2018-10-06,7,34,1,22,40,2,15,26
3885,2018-10-13,10,34,6,40,37,3,15,18
3887,2018-10-20,38,14,15,42,5,45,8,22
3889,2018-10-27,13,17,32,9,37,16,6,14
3891,2018-11-03,14,5,36,12,3,35,15,42
3893,2018-11-10,23,38,21,1,44,22,20,17
3895,2018-11-17,26,19,31,30,6,18,25,16
3897,2018-11-24,10,20,24,7,29,37,32,42
3899,2018-12-01,24,25,38,27,31,5,20,18
3901,2018-12-08,23,6,2,25,43,26,9,7
3903,2018-12-15,28,33,35,32,39,23,5,42
3905,2018-12-22,5,14,41,29,43,9,37,15
3907,2018-12-29,9,33,39,30,2,17,22,41
3909,2019-01-05,18,3,24,20,34,26,42,32
3911,2019-01-12,45,5,15,11,23,35,43,17
3913,2019-01-19,26,11,45,8,10,15,37,28
3915,2019-01-26,36,18,8,19,38,42,39,4
3917,2019-02-02,24,12,21,5,1,45,15,2
3919,2019-02-09,9,17,13,11,16,21,33,38
3921,2019-02-16,27,18,19,38,43,26,15,22
3923,2019-02-23,37,13,19,21,25,20,33,27
3925,2019-03-02,43,38,40,39,10,5,24,4
3927,2019-03-09,17,21,43,16,27,29,40,37
3929,2019-03-16,42,15,31,12,1,8,32,36
3931,2019-03-23,29,9,32,33,37,39,27,11
3933,2019-03-30,8,31,33,26,27,5,11,22
3935,2019-04-06,4,12,39,10,38,8,13,6
3937,2019-04-13,16,21,18,25,22,19,41,4
3939,2019-04-20,36,20,9,14,18,16,7,19
3941,2019-04-27,41,39,1,26,16,21,2,6
3943,2019-05-04,23,8,27,7,33,24,41,15
3945,2019-05-11,27,32,44,28,34,17,22,8
3947,2019-05-18,8,45,6,2,39,36,5,13
3949,2019-05-25,1,11,35,44,29,18,28,38
3951,2019-06-01,25,20,6,9,27,31,36,2
3953,2019-06-08,22,24,42,36,39,1,41,12
3955,2019-06-15,24,42,8,41,18,39,5,16
3957,2019-06-22,41,5,10,11,12,29,13,21
3959,2019-06-29,5,21,14,35,42,33,40,7
3961,2019-07-06,30,23,15,44,18,41,1,5
3963,2019-07-13,16,5,18,41,22,36,1,7
3965,2019-07-20,42,12,2,18,8,30,39,14
3967,2019-07-27,35,13,11,23,27,38,8,5
3969,2019-08-03,44,28,32,3,5,38,25,27
3971,2019-08-10,39,9,6,37,1,38,11,45
3973,2019-08-17,19,23,35,6,28,24,38,29
3975,2019-08-24,33,9,10,4,32,11,29,23
3977,2019-08-31,36,41,15,17,14,7,24,20
3979,2019-09-07,10,36,14,8,1,23,7,15
3981,2019-09-14,27,39,7,41,38,20,9,43
3983,2019-09-21,40,14,32,33,43,29,24,12
3985,2019-09-28,41,20,11,22,18,4,44,12
3987,2019-10-05,34,33,20,36,12,4,10,23
3989,2019-10-12,6,33,16,27,17,8,26,28
3991,2019-10-19,18,26,43,21,39,41,35,33
3993,2019-10-26,31,28,7,45,29,2,6,38
3995,2019-11-02,12,21,10,2,1,42,13,40
3997,2019-11-09,28,1,25,36,27,10,14,18
3999,2019-11-16,22,11,32,31,28,34,14,21
4001,2019-11-23,14,45,37,7,30,25,6,34
4003,2019-11-30,10,30,16,22,38,20,42,14
4005,2019-12-07,16,30,1,13,25,32,17,22
4007,2019-12-14,39,31,40,34,9,1,17,37
4009,2019-12-21,18,28,23,30,37,35,33,4
4011,2019-12-28,39,13,19,1,37,31,5,33
4013,2020-01-04,40,42,16,38,11,33,45,12
4015,2020-01-11,37,17,18,41,11,20,15,36
4017,2020-01-18,35,10,34,3,24,12,40,38
4019,2020-01-25,24,19,17,10,36,38,22,40
4021,2020-02-01,33,24,17,1,10,29,26,5
4023,2020-02-08,17,19,44,24,36,38,2,39
4025,2020-02-15,4,24,21,3,11,39,40,34
4027,2020-02-22,11,29,23,8,16,15,25,7
4029,2020-02-29,12,29,3,30,38,31,22,45
4031,2020-03-07,7,33,34,40,28,3,38,1
4033,2020-03-14,27,42,41,13,8,40,3,4
4035,2020-03-21,10,27,19,33,31,26,9,43
4037,2020-03-28,7,43,37,10,3,16,23,20
4039,2020-04-04,33,36,11,39,19,22,7,18
4041,2020-04-11,11,10,14,26,5,27,35,37
4043,2020-04-18,24,39,40,29,41,23,5,37
4045,2020-04-25,17,15,34,23,38,3,31,18
4047,2020-05-02,10,18,16,43,14,31,4,35
4049,2020-05-09,35,39,38,22,21,7,34,44
4051,2020-05-16,17,26,16,11,4,19,15,25
4053,2020-05-23,30,45,1,21,32,25,31,38
4055,2020-05-30,19,3,25,22,44,15,42,1
4057,2020-06-06,3,22,18,27,19,10,42,41
4059,2020-06-13,17,3,29,32,34,38,28,12
4061,2020-06-20,22,17,19,29,9,11,14,21
4063,2020-06-27,28,41,19,35,15,24,23,30
4065,2020-07-04,33,31,42,17,39,35,36,41
4067,2020-07-11,38,22,27,26,32,29,30,42
4069,2020-07-18,35,21,2,43,18,22,10,37
4071,2020-07-25,37,44,32,9,16,6,11,12
4073,2020-08-01,8,23,42,9,38,29,13,17
4075,2020-08-08,11,18,1,17,42,34,19,43
4077,2020-08-15,16,34,41,35,29,13,45,12
4079,2020-08-22,43,2,16,9,7,33,20,34
4081,2020-08-29,16,13,25,44,40,20,4,28
4083,2020-09-05,38,13,2,32,3,37,36,29
4085,2020-09-12,31,28,12,39,36,27,6,24
4087,2020-09-19,1,41,26,23,14,8,33,12
4089,2020-09-26,28,7,36,1,42,22,14,11
4091,2020-10-03,29,21,11,3,24,38,40,36
4093,2020-10-10,34,12,37,24,5,26,3,2
4095,2020-10-17,14,12,8,38,5,16,3,17
4097,2020-10-24,31,38,3,30,23,45,19,40
4099,2020-10-31,19,4,26,27,34,13,6,15
4101,2020-11-07,35,1,3,15,7,8,10,5
4103,2020-11-14,27,23,45,6,15,26,2,29
4105,2020-11-21,2,37,39,21,42,27,7,11
4107,2020-11-28,20,10,35,34,18,37,41,7
4109,2020-12-05,11,32,41,1,9,24,15,38
4111,2020-12-12,40,35,38,16,14,43,33,1
4113,2020-12-19,16,35,9,39,41,26,33,13
4115,2020-12-26,21,2,32,30,11,5,25,42
4117,2021-01-02,7,5,16,44,14,17,26,31
4119,2021-01-09,9,22,34,20,7,45,12,10
4121,2021-01-16,17,12,22,4,14,33,25,28
4123,2021-01-23,6,8,40,10,29,1,31,42
4125,2021-01-30,20,3,31,30,15,6,2,26
4127,2021-02-06,3,10,12,6,8,24,36,45
4129,2021-02-13,43,22,1,4,3,42,24,25
4131,2021-02-20,9,3,5,41,35,26,45,28
4133,2021-02-27,35,24,45,4,42,6,38,36
4135,2021-03-06,42,26,32,16,39,11,30,6
4137,2021-03-13,27,17,37,15,40,22,2,4
4139,2021-03-20,22,32,13,8,19,9,15,25
4141,2021-03-27,35,4,2,23,12,24,37,15
4143,2021-04-03,41,1,39,31,38,21,6,43
4145,2021-04-10,7,20,42,26,8,22,14,16
4147,2021-04-17,5,33,17,13,44,38,22,35
4149,2021-04-24,32,8,31,44,4,2,36,35
4151,2021-05-01,5,31,14,22,42,18,1,8
4153,2021-05-08,31,4,41,2,9,26,18,25
4155,2021-05-15,19,16,5,41,15,20,4,21
4157,2021-05-22,23,9,27,7,13,6,1,33
4159,2021-05-29,42,2,7,28,16,30,22,35
4161,2021-06-05,24,33,44,1,11,32,20,35
4163,2021-06-12,13,45,5,28,37,15,1,43
4165,2021-06-19,30,40,34,14,41,12,15,27
4167,2021-06-26,34,24,36,32,1,26,7,27
4169,2021-07-03,7,33,2,37,42,27,10,20
4171,2021-07-10,23,22,30,28,38,34,16,20
4173,2021-07-17,30,14,38,32,2,35,45,10
4175,2021-07-24,30,12,26,16,40,27,13,15
4177,2021-07-31,32,41,13,16,33,18,9,19
4179,2021-08-07,28,22,11,12,5,36,1,9
4181,2021-08-14,9,13,19,3,28,24,29,35
4183,2021-08-21,40,34,43,35,6,19,45,22
4185,2021-08-28,17,30,22,23,19,21,43,32
4187,2021-09-04,29,33,14,45,31,44,26,19
4189,2021-09-11,17,34,8,10,26,23,36,41
4191,2021-09-18,5,36,6,15,43,18,24,29
4193,2021-09-25,33,29,36,40,6,28,43,26
4195,2021-10-02,26,13,44,28,17,33,18,38
4197,2021-10-09,22,40,24,18,42,34,37,19
4199,2021-10-16,27,17,2,26,7,38,19,1
4201,2021-10-23,32,16,10,9,26,22,38,17
4203,2021-10-30,32,16,29,26,30,4,43,37
4205,2021-11-06,33,28,15,30,11,39,35,19
4207,2021-11-13,26,40,17,32,22,29,12,21
4209,2021-11-20,25,21,33,20,17,9,4,19
4211,2021-11-27,34,27,5,45,41,3,24,10
4213,2021-12-04,44,8,31,39,45,24,21,41
4215,2021-12-11,39,27,37,35,12,6,19,2
4217,2021-12-18,1,44,36,29,25,19,21,35
4219,2021-12-25,31,6,42,21,30,19,38,15
4221,2021-12-31,32,14,15,8,43,20,35,31
4223,2022-01-08,27,3,29,17,20,24,18,9
4225,2022-01-15,38,3,11,19,42,33,13,39
4227,2022-01-22,39,12,14,1,21,43,19,32
4229,2022-01-29,9,8,34,23,40,22,17,13
4231,2022-02-05,22,9,10,11,2,37,6,40
4233,2022-02-12,35,36,13,43,37,42,15,5
4235,2022-02-19,34,18,1,5,20,23,35,9
4237,2022-02-26,3,26,23,34,7,16,17,35
4239,2022-03-05,19,40,18,30,16,2,9,28
4241,2022-03-12,35,29,4,41,40,37,27,21
4243,2022-03-19,32,24,43,38,10,34,6,25
4245,2022-03-26,21,13,22,2,33,8,10,27
4247,2022-04-02,6,27,21,1,15,4,41,19
4249,2022-04-09,19,1,40,31,35,8,38,15
4251,2022-04-16,37,15,11,23,14,12,20,42
4253,2022-04-23,33,3,23,45,31,39,17,20
4255,2022-04-30,10,20,8,42,3,36,45,9
4257,2022-05-07,6,45,13,11,17,7,43,23
4259,2022-05-14,20,27,35,39,25,15,9,21
4261,2022-05-21,41,38,23,5,13,9,4,43
4263,2022-05-28,32,17,19,15,33,28,24,2
4265,2022-06-04,23,25,7,13,8,17,42,31
4267,2022-06-11,39,45,21,11,10,19,25,35
4269,2022-06-18,37,11,27,1,22,34,44,43
4271,2022-06-25,25,20,6,16,18,36,33,39
4273,2022-07-02,17,15,10,42,31,37,7,11
4275,2022-07-09,6,23,44,43,37,30,45,1
4277,2022-07-16,23,37,11,8,19,35,42,34
4279,2022-07-23,3,40,38,32,24,20,31,5
4281,2022-07-30,17,21,12,26,8,42,35,13
4283,2022-08-06,15,33,24,39,14,31,40,4
4285,2022-08-13,15,35,29,1,38,20,31,8
4287,2022-08-20,6,34,16,37,42,35,18,40
4289,2022-08-27,2,6,41,3,23,42,39,24
4291,2022-09-03,10,18,39,3,21,6,41,43
4293,2022-09-10,31,45,2,11,8,32,14,41
4295,2022-09-17,4,25,23,7,21,9,6,11
4297,2022-09-24,10,7,14,41,34,5,4,44
4299,2022-10-01,40,25,32,20,30,9,34,35
4301,2022-10-08,37,17,45,20,33,23,18,22
4303,2022-10-15,40,24,12,11,7,5,28,15
4305,2022-10-22,7,17,41,21,35,24,23,5
4307,2022-10-29,7,9,42,6,22,3,16,13
4309,2022-11-05,45,26,19,29,39,12,15,13
4311,2022-11-12,12,6,3,18,35,31,34,9
4313,2022-11-19,43,31,23,9,14,12,13,29
4315,2022-11-26,31,14,29,12,45,22,36,11
4317,2022-12-03,39,4,15,12,10,8,45,37
4319,2022-12-10,24,44,14,35,22,6,39,10
4321,2022-12-17,8,36,37,41,3,28,9,16
4323,2022-12-24,4,32,8,39,7,24,34,17
4325,2022-12-31,11,23,35,42,20,45,8,38
4327,2023-01-07,38,17,18,2,11,9,41,37
4329,2023-01-14,39,30,37,45,11,19,3,21
4331,2023-01-21,11,9,23,32,10,40,17,5
4333,2023-01-28,24,27,44,39,30,7,5,38
4335,2023-02-04,45,11,34,27,31,39,5,28
4337,2023-02-11,4,21,7,20,22,19,16,17
4339,2023-02-18,16,24,34,30,11,8,21,18
4341,2023-02-25,13,12,45,15,4,29,27,2
4343,2023-03-04,32,34,33,13,9,1,8,15
4345,2023-03-11,9,4,42,10,29,1,17,7
4347,2023-03-18,6,44,21,1,43,15,34,42
4349,2023-03-25,9,14,39,42,8,10,12,31
4351,2023-04-01,10,39,36,25,45,5,40,8
4353,2023-04-08,9,40,13,11,6,4,20,18
4355,2023-04-15,23,4,16,31,39,43,17,18
4357,2023-04-22,32,4,38,41,34,29,27,11
4359,2023-04-29,4,18,15,16,45,35,17,11
4361,2023-05-06,17,35,30,13,2,8,34,5
4363,2023-05-13,33,23,24,36,22,6,18,34
4365,2023-05-20,8,2,25,32,12,11,16,22
4367,2023-05-27,28,37,7,8,34,22,1,23
4369,2023-06-03,41,37,26,1,12,24,25,45
4371,2023-06-10,42,23,43,12,2,11,7,44
4373,2023-06-17,27,39,36,8,41,24,22,26
4375,2023-06-24,4,30,21,37,29,8,45,38
4377,2023-07-01,6,7,38,26,19,21,13,36
4379,2023-07-08,29,41,37,34,5,26,31,42
4381,2023-07-15,18,32,25,39,31,37,12,34
4383,2023-07-22,32,14,1,5,26,33,37,8
4385,2023-07-29,45,42,3,32,37,14,17,20
4387,2023-08-05,24,18,1,43,2,36,31,9
4389,2023-08-12,10,5,30,32,42,34,45,19
4391,2023-08-19,44,14,16,24,41,34,21,30
4393,2023-08-26,37,10,18,32,6,33,21,23
4395,2023-09-02,9,37,32,41,40,16,26,30
4397,2023-09-09,11,9,14,29,7,15,17,23
4399,2023-09-16,37,28,27,11,41,23,2,1
4401,2023-09-23,13,16,21,29,45,4,11,6
4403,2023-09-30,20,45,43,27,6,29,36,9
4405,2023-10-07,18,23,25,37,28,35,16,8
4407,2023-10-14,38,7,23,10,24,11,4,14
4409,2023-10-21,30,29,7,2,31,12,9,33
4411,2023-10-28,30,13,12,14,18,35,43,2
4413,2023-11-04,14,5,34,15,42,1,45,40
4415,2023-11-11,2,1,30,28,24,23,39,29
4417,2023-11-18,8,7,26,31,16,15,44,6
4419,2023-11-25,30,36,17,37,44,20,4,19
4421,2023-12-02,22,42,10,23,21,14,11,7
4423,2023-12-09,11,44,9,25,33,32,2,20
4425,2023-12-16,12,39,13,8,17,41,27,32
4427,2023-12-23,20,37,24,1,39,31,19,41
4429,2023-12-30,39,38,3,2,11,23,22,35
4431,2024-01-06,17,12,36,42,13,34,41,38
4433,2024-01-13,41,33,40,39,8,37,35,2
4435,2024-01-20,35,37,11,22,27,33,8,1
4437,2024-01-27,8,36,29,24,5,13,40,15
4439,2024-02-03,23,11,29,3,19,22,30,20
4441,2024-02-10,42,2,12,13,1,20,15,3
4443,2024-02-17,22,11,34,28,25,7,32,35
4445,2024-02-24,26,38,42,16,17,39,32,37
4447,2024-03-02,19,15,18,30,5,8,7,26
4449,2024-03-09,11,25,17,3,2,31,15,24
4451,2024-03-16,44,40,35,17,28,3,26,33
4453,2024-03-23,12,17,1,32,16,19,27,34
4455,2024-03-30,44,42,43,15,12,9,18,36
4457,2024-04-06,6,37,5,14,36,45,31,28
4459,2024-04-13,18,25,19,16,1,3,7,33
4461,2024-04-20,44,6,16,43,19,25,4,14
4463,2024-04-27,1,26,7,20,39,34,8,10
4465,2024-05-04,14,42,26,12,29,5,9,41
4467,2024-05-11,20,17,21,31,44,41,18,37
4469,2024-05-18,20,32,9,43,13,26,14,34
4471,2024-05-25,38,22,35,8,36,10,11,23
4473,2024-06-01,22,42,39,28,5,21,13,29
4475,2024-06-08,24,32,30,3,14,13,33,40
4477,2024-06-15,34,40,12,23,36,38,8,30
4479,2024-06-22,37,22,2,35,38,40,9,44
4481,2024-06-29,30,24,44,21,45,10,31,28
4483,2024-07-06,4,20,26,3,15,44,7,35
4485,2024-07-13,21,2,36,24,18,1,14,27
4487,2024-07-20,31,30,23,29,17,25,6,14
4489,2024-07-27,4,37,45,27,11,20,15,10
4491,2024-08-03,12,41,11,10,45,13,40,28
4493,2024-08-10,42,37,4,45,10,38,36,15
4495,2024-08-17,23,15,41,25,1,3,45,11
4497,2024-08-24,5,43,8,42,45,44,24,32
4499,2024-08-31,6,39,15,20,32,4,30,1
4501,2024-09-07,16,38,7,15,20,13,26,41
4503,2024-09-14,6,32,38,22,14,34,19,41
4505,2024-09-21,6,21,24,29,32,42,25,30
4507,2024-09-28,34,40,29,15,19,37,6,44
4509,2024-10-05,13,30,18,24,27,15,41,26
4511,2024-10-12,8,2,21,45,10,28,27,30
4513,2024-10-19,26,15,33,43,22,5,4,11
4515,2024-10-26,42,35,1,43,25,29,19,31
4517,2024-11-02,18,6,42,10,1,3,5,40
4519,2024-11-09,30,39,6,37,5,43,45,17
4521,2024-11-16,6,5,8,44,29,38,1,9
4523,2024-11-23,3,40,25,17,42,6,7,28
4525,2024-11-30,16,30,41,8,39,13,38,28
4527,2024-12-07,1,16,11,13,35,7,5,14
4529,2024-12-14,30,35,6,7,21,11,29,13
4531,2024-12-21,44,27,38,18,9,25,23,7
4533,2024-12-28,26,41,4,12,29,40,34,31
4535,2025-01-04,33,19,8,23,10,31,42,13
4537,2025-01-11,6,19,29,18,8,38,15,45
4539,2025-01-18,19,15,45,7,11,34,32,42
